lab;filter_name;shelf;name;weight;unit;producer;quantity;code;sds
E1.12;C;;CELITE 500 FINE;1;kg;Sigma Aldrich;1;6858;https://www.sigmaaldrich.com/IT/en/sds/sigald/06858
E1.12;C;;CELLULASE;100;mL;NCBE;1;;https://www.ncbe.reading.ac.uk/wp-content/uploads/sites/16/2021/10/Celluclast.pdf
E1.12;C;;CHLOROFORM;1;L;Merck;1;1.024.441.000;https://www.sigmaaldrich.com/IT/en/sds/mm/1.02444
E1.12;C;;CHLOROFORM;1;L;VWR;1;22706292;https://it.vwr.com/assetsvc/asset/en_GB/id/7902271/contents
E1.12;C;;CITRIC ACID;1;Kg;Sigma Aldrich;1;C0759-100G;https://www.sigmaaldrich.com/IT/en/sds/sial/c0759
E1.12;C;;COPPER (II) SULPHATE ANHYDROUS;500;g;Sigma Aldrich;1;102.791;https://www.sigmaaldrich.com/IT/en/sds/mm/1.02791
E1.12;C;;COPPER (II) SULPHATE PENTAHYDRATE;500;g;Sigma Aldrich;1;61230-500G-F;https://www.sigmaaldrich.com/IT/en/sds/mm/1.02792
E1.12;C;;CUPRIC SULFATE ;250;g;Sigma Aldrich;1;C2857-250G;https://www.sigmaaldrich.com/IT/en/sds/sial/c2857
E1.12;G;;D(+)-GLUCOSE;1;kg;Prolabo;1;24379294;https://it.vwr.com/assetsvc/asset/en_GB/id/7665438/contents
E1.12;S;;D(+)-SUCROSE;250;g;Fluka;1;84100;https://www.sigmaaldrich.com/IT/en/sds/sial/84100
E1.12;F;;D-FRUCTOSE;100;g;Sigma Aldrich;1;F0127;https://www.sigmaaldrich.com/IT/en/sds/sigma/f0127
E1.12;D;;DINITROSALICYLIC ACID;100;g;Sigma Aldrich;1;D0550-100G;https://www.sigmaaldrich.com/IT/en/sds/sigma/d0550
E1.12;D;;DINITROSALICYLIC ACID;100;g;Sigma Aldrich;1;D0550-100G;https://www.sigmaaldrich.com/IT/en/sds/sigma/d0550
E1.12;E;;EDTA 99%;500;g;Sigma Aldrich;2;eds;https://www.sigmaaldrich.com/IT/en/sds/sial/eds
E1.12;E;;EDTA DISODIUM SALT 0.01M IN ACQUEOUS SOLUTION;5;L;VWR;1;160226G;https://it.vwr.com/assetsvc/asset/en_GB/id/7896625/contents
E1.12;E;;EDTA FERRIC MONOSODIUM SALT TRIHYDRATE;250;g;VWR;1;280233V;https://it.vwr.com/assetsvc/asset/en_GB/id/7667473/contents
E1.12;E;;EPICATECHIN;1;g;Sigma Aldrich;1;E1753;https://www.sigmaaldrich.com/IT/en/sds/sigma/e1753
E1.12;E;;ERIOCHROME BLACK T;25;g;Fluka;1;32751;https://www.sigmaaldrich.com/IT/en/sds/mm/1.03170
E1.12;E;;ETHANOL 99.9%;5;L;COVERSOL;1;;
E1.12;E;;ETHANOL ABSOLUTE;1;L;Merck;1;100.986;https://www.sigmaaldrich.com/IT/en/sds/mm/1.00986
E1.12;F;;FEHLING'S REAGENT I FOR SUGARS;500;mL;Fluka;1;36018;https://www.sigmaaldrich.com/IT/en/sds/sial/36018
E1.12;F;;FEHLING'S REAGENT II FOR SUGARS;500;mL;Fluka;1;36019;https://lab.honeywell.com/sm/api/rc/documents/download/36019-500ML_SDS_GB_E?appId=76&catNo=36019-500ML&matnr=10194053&lang=E&country=GB&type=SDS
E1.12;F;;FOLIN & CIOCALTEU PHENOL REAGENT;100;mL;Sigma Aldrich;2;47641;https://www.sigmaaldrich.com/IT/en/sds/sigma/47641
E1.12;F;;FOLIN & CIOCALTEU PHENOL REAGENT;500;mL;VWR;1;31.360.264;https://it.vwr.com/assetsvc/asset/en_GB/id/7898686/contents
E1.12;G;;GALLIC ACID;100;g;Sigma Aldrich;1;G7384;https://www.sigmaaldrich.com/IT/en/sds/sigma/g7384
E1.12;G;;GLUTAMIC ACID;100;g;Sigma Aldrich;1;G1251;https://www.sigmaaldrich.com/IT/en/sds/sigma/g1251
E1.12;G;;GLYCINE;100;g;Sigma Aldrich;1;G7126-100G;https://www.sigmaaldrich.com/IT/en/sds/sigma/g7126
E1.12;G;;GUAIACOL;100;g;Sigma Aldrich;1;G5502;https://www.sigmaaldrich.com/IT/en/sds/sigma/g5502
E1.12;H;;HYDROCHLORIC ACID 1mol/l in ETOH;1;L;Fluka;1;31088;https://www.sigmaaldrich.com/IT/en/sds/mm/1.00327
E1.12;H;;HYDROCHLORIC ACID 36%;1;L;Merck;1;115.186;https://www.sigmaaldrich.com/IT/en/sds/mm/1.15186
E1.12;H;;Hydrogen peroxide solution;1;L;Merck;2;822.287;https://www.sigmaaldrich.com/IT/en/sds/sial/31642-m
E1.12;I;;INDICATOR UNIVERSAL pH 1-11 HYDROALCOHOLIC;500;mL;Carlo Erba;1;E455706;https://www.carloerbareagents.com/cerstorefront/medias/CH0452-EU.pdf?context=bWFzdGVyfHNhZmV0eS1kYXRhLXNoZWV0c3w0MzE0MzZ8YXBwbGljYXRpb24vcGRmfGFESXhMMmczWmk4eE5UUXhOekkxTkRnek9ETXdNaTlEU0RBME5USmZSVlV1Y0dSbXwzNDg3YzhmYTYzMjY4Y2U1N2NhNzZiNzEwMDhjOTUxNjlkYWZkOWJhYTM0MzFjODc4Y2U0MWM0OTg2MjkzN2Q5&attachment=true
E1.12;I;;IODINE 0.05N IN ACQUEOUS SOLUTION;500;mL;VWR;1;85.805.260;https://it.vwr.com/assetsvc/asset/en_GB/id/23935736/contents
E1.12;I;;IRON (II) SULFATE HEPTAHYDRATE;250;g;Sigma Aldrich;1;F7002;https://www.sigmaaldrich.com/IT/en/sds/mm/1.03965
E1.12;I;;IRON (II) SULFATE HEPTAHYDRATE;500;g;J.T. BAKER;1;126;https://it.vwr.com/assetsvc/asset/en_GB/id/38889995/contents
E1.12;I;;IRON (III) CHLORIDE HEXAHYDRATE;500;g;Sigma Aldrich;1;236489-500G;https://www.sigmaaldrich.com/IT/en/sds/sigald/236489
E1.12;I;;IRON III CHLORIDE;500;g;Carlo Erba;1;236489;https://www.carloerbareagents.com/cerstorefront/medias/CH1173-EU.pdf?context=bWFzdGVyfHNhZmV0eS1kYXRhLXNoZWV0c3wzNzIzNzl8YXBwbGljYXRpb24vcGRmfGFEWTFMMmhtTUM4eE5UUTBNRE0xTURJNE1UYzFPQzlEU0RFeE56TmZSVlV1Y0dSbXxmZDkzYzJkMDVkNjNmMGExOTExYjEwYTNmOTFlOGEyMTIyZDk0YTYyMWU3NGJkNTUzZTUxMmFiNmFhNDE4NTA1&attachment=true
E1.12;I;;IRON III NITRATE NONAHYDRATE;1;kg;Carlo Erba;1;451727;https://www.carloerbareagents.com/cerstorefront/cer-exp/Products-categories/Chemicals/Iron-%28III%29-nitrate-nonahydrate-RPE---For-analysis---ACS/p/095600AA02550
E1.12;I;;IRON POWDER;500;g;Sigma Aldrich;1;12310;https://www.sigmaaldrich.com/IT/en/sds/aldrich/12310
E1.12;I;;ISOAMYL ALCOHOL;1;kg;Sigma Aldrich;1;W205702;https://www.sigmaaldrich.com/IT/en/sds/aldrich/w205702
E1.12;I;;ISOAMYL ALCOHOL;1;L;Carlo Erba;1;413832;https://www.carloerbareagents.com/cerstorefront/medias/CH0360-EU.pdf?context=bWFzdGVyfHNhZmV0eS1kYXRhLXNoZWV0c3w1NTY4ODB8YXBwbGljYXRpb24vcGRmfGFHUmtMMmcyWXk4eE5UUXlNRFV4T1RZeE1qUTBOaTlEU0RBek5qQmZSVlV1Y0dSbXxiOGFkZTBlNzBhMzNkNWRkOGE2MTIzZTc4YTViYjY5ZWNjMDNjYjQzZGE1YjMzOTk5MjFmMDYwMzllZjcwMzI0&attachment=true
E1.12;L;;LACTIC ACID SOLUTION;100;g;Sigma Aldrich;1;252476;https://www.sigmaaldrich.com/IT/en/sds/sial/252476
E1.12;L;;LUGOL SOLUTION;1;L;Sigma Aldrich;1;32922;https://www.sigmaaldrich.com/IT/en/sds/sigma/32922
E1.12;M;;MAGNESIUM SULFATE ANHYDROUS;500;g;Sigma Aldrich;1;M7506;https://www.sigmaaldrich.com/IT/en/sds/mm/1.06067
E1.12;M;;MAGNESIUM SULFATE HEPTAHYDRATE 99+% ACS Reagent;1000;g;Sigma Aldrich;1;230391-500G;https://www.sigmaaldrich.com/IT/en/sds/sigald/230391
E1.12;M;;MANGANESE (II) SULFATE MONOHYIDRATÉ;500;g;Sigma Aldrich;1;221287-500G;https://www.sigmaaldrich.com/IT/en/sds/sigald/221287
E1.12;M;;MANGANESE(II) NITRATE HYDRATE 98%;25;g;Sigma Aldrich;1;288640;https://www.sigmaaldrich.com/IT/en/sds/aldrich/288640
E1.12;M;;MANGANESE(II) NITRATE TETRAHYDRATE ;100;g;Sigma Aldrich;1;63547;https://www.sigmaaldrich.com/IT/en/sds/sigald/63547
E1.12;M;;MANGANESE(II) SULFATE MONOHYDRATE ;500;g;Sigma Aldrich;1;63547-100;https://www.sigmaaldrich.com/IT/en/sds/sigald/63547
E1.12;M;;METAPHOSPHORIC ACID;250;g;VWR;1;20632236;https://it.vwr.com/assetsvc/asset/en_GB/id/7668423/contents
E1.12;M;;METHANOL;2,5;L;VWR;1;85.800.320;https://it.vwr.com/assetsvc/asset/en_GB/id/22992128/contents
E1.12;M;;METHYLENE BLUE;25;g;BioOptica;1;52015;https://www.bio-optica.it/ftp/sds/EN/SI_05-B14003_CLP.pdf
E1.12;M;;METHYLENE BLUE HYDRATE;25;g;Fluka;1;32723-25G;https://www.sigmaaldrich.com/IT/en/sds/sial/28514
E1.12;M;;MICROSCOPY OIL;100;mL;Merck;1;1.046.990.100;https://www.sigmaaldrich.com/IT/en/sds/mm/1.04699
E1.12;M;;MINERAL OIL;500;mL;Sigma Aldrich;1;m5904;https://www.sigmaaldrich.com/IT/en/sds/sigma/m5904
E1.12;M;;MOLYBDATE REAGENT SOLUTION;100;mL;Sigma Aldrich;2;69888;https://www.sigmaaldrich.com/IT/en/sds/sial/69888
E1.12;N;;NINHYDRIN SPRAY REAGENT;100;mL;Sigma Aldrich;1;N1286-100ML;https://www.sigmaaldrich.com/IT/en/sds/sigma/n1286
E1.12;P;;PARAFFIN OIL;1;L;Sigma Aldrich;1;76235;https://www.sigmaaldrich.com/IT/en/sds/sial/76235
E1.12;P;;PARAFFIN OIL;1;L;J.T. BAKER;1;7160;https://us.vwr.com/assetsvc/asset/en_US/id/37647263/contents/37647263.pdf
E1.12;P;;PARAFFIN WAX 100%;100;g;;1;76242;https://www.sigmaaldrich.com/IT/en/sds/aldrich/76242
E1.12;P;;PECTIN METHYLESTERASE;100;mL;NCBE;1;;https://www.ncbe.reading.ac.uk/wp-content/uploads/sites/16/2021/10/NovoShape.pdf
E1.12;P;;PECTIN, ESTERIFIED POTASSIUM SALT, FROM CITRUS FRUIT;5;g;Sigma Aldrich;1;P9561-5G;https://www.sigmaaldrich.com/IT/en/sds/sigma/p9561
E1.12;P;;PECTIN, ESTERIFIED POTASSIUM SALT, FROM CITRUS FRUIT;5;g;Sigma Aldrich;1;P9436-5G;https://www.sigmaaldrich.com/IT/en/sds/sigma/p9436
E1.12;P;;PECTINASE;100;mL;NCBE;1;;https://www.ncbe.reading.ac.uk/wp-content/uploads/sites/16/2021/10/Pectinex.pdf
E1.12;P;;PECTINASE from Aspergillus niger;;;Sigma Aldrich;1;P4716-5KU;https://www.sigmaaldrich.com/IT/en/sds/sigma/p4716
E1.12;P;;Peroxidase from horseradish lyophilized;100;mg;Sigma Aldrich;2;77332;https://www.sigmaaldrich.com/IT/en/sds/sigma/p8375
E1.12;P;;PETROLEUM ETHER;1;L;Sigma Aldrich;1;184519;https://www.sigmaaldrich.com/IT/en/sds/sigald/184519
E1.12;P;;PHENOL;100;g;Sigma Aldrich;1;P5566;https://www.sigmaaldrich.com/IT/en/sds/sial/p5566
E1.12;P;;PHOSPHOMOLYBDIC ACID SPRAY REAGENT;100;mL;Sigma Aldrich;1;P4869;https://www.sigmaaldrich.com/IT/en/sds/aldrich/p4869
E1.12;P;;PHOSPHORIC ACID;500;mL;HONEYWELL;1;79606-500ML;https://lab.honeywell.com/sm/api/rc/documents/download/79606-500ML_SDS_GB_E?appId=76&catNo=79606-500ML&matnr=10641887&lang=E&country=GB&type=SDS
E1.12;P;;POTASSIUM ANTIMONYL TARTRATE TRHYDRATE;250;g;Sigma Aldrich;1;11126;https://www.sigmaaldrich.com/IT/en/sds/sial/383376
E1.12;P;;POTASSIUM ANTIMONYL TARTRATE TRHYDRATE;100;g;Sigma Aldrich;1;383376;https://www.sigmaaldrich.com/IT/en/sds/sial/383376
E1.12;P;;POTASSIUM CARBONATE;1;kg;Sigma Aldrich;1;209619-1KG;https://www.sigmaaldrich.com/IT/en/sds/sigald/209619
E1.12;P;;POTASSIUM CHLORIDE ;500;g;Sigma Aldrich;1;P9333;https://www.sigmaaldrich.com/IT/en/sds/sigma/p9541
E1.12;P;;POTASSIUM CHLORIDE ;1;kg;VWR;1;26.760.295;https://it.vwr.com/assetsvc/asset/en_GB/id/7669603/contents/7669603.pdf
E1.12;P;;POTASSIUM DISULFITE;500;g;Sigma Aldrich;1;P2522;https://www.sigmaaldrich.com/IT/en/sds/sigald/p2522
E1.12;P;;POTASSIUM HYDROXIDE;1;kg;Sigma Aldrich;1;814.353;https://www.sigmaaldrich.com/IT/en/sds/sigald/221473
E1.12;P;;POTASSIUM IODIDE;100;g;Sigma Aldrich;2;60400-100G-F;https://www.sigmaaldrich.com/IT/en/sds/sigald/221945
E1.12;P;;POTASSIUM NITRATE;500;g;Sigma Aldrich;1;P6030-500G;https://www.sigmaaldrich.com/IT/en/sds/sigma/p6030
E1.12;P;;POTASSIUM PHOSPHATE DIBASIC;500;g;Sigma Aldrich;1;P8281;https://www.sigmaaldrich.com/IT/en/sds/sial/p8281
E1.12;P;;POTASSIUM PHOSPHATE MONOBASIC;1;kg;Sigma Aldrich;1;P5655-500G;https://www.sigmaaldrich.com/IT/en/sds/sigma/p5655
E1.12;P;;p-PHENYLENEDIAMINE;50;g;Sigma Aldrich;2;P6001;https://www.sigmaaldrich.com/IT/en/sds/sigma/p6001
E1.12;P;;Puffer pH=5;2,5;L;Fluka;1;95304;https://lab.honeywell.com/sm/api/rc/documents/download/33544-1L_SDS_GB_E?appId=76&catNo=33544-1L&matnr=10192509&lang=E&country=GB&type=SDS
E1.12;B;;R (+) 1,2,4 BUTANETRIOL;5;g;Sigma Aldrich;1;309710;https://www.sigmaaldrich.com/IT/en/sds/aldrich/309710
E1.12;B;;S (-) 1,2,4 BUTANETRIOL;5;g;Sigma Aldrich;1;296678;https://www.sigmaaldrich.com/IT/en/sds/aldrich/296678
E1.12;S;;SAND 50-70 MESH;500;g;Sigma Aldrich;1;274739;https://www.sigmaaldrich.com/IT/en/sds/sigald/274739
E1.12;S;;SILICA GEL;1;kg;Sigma Aldrich;1;236799-1KG;https://www.sigmaaldrich.com/IT/en/sds/sial/236799
E1.12;S;;SILVER NITRATE;100;g;Sigma Aldrich;2;S6506-100G;https://www.sigmaaldrich.com/IT/en/sds/sigald/s6506
E1.12;S;;SODIUM ACETATE TRIHYDRATE bioxtra;250;g;Sigma Aldrich;1;S7670;https://www.sigmaaldrich.com/IT/en/sds/sial/s7670
E1.12;S;;SODIUM BICARBONATE;500;g;Sigma Aldrich;1;S5761-500G;https://www.sigmaaldrich.com/IT/en/sds/sigma/s5761
E1.12;S;;SODIUM BISULFITE ACS reagent;100;g;Sigma Aldrich;1;243973;https://www.sigmaaldrich.com/IT/en/sds/sigald/243973
E1.12;S;;SODIUM BOROHYDRIDE;25;g;Sigma Aldrich;1;71320-25G;https://www.sigmaaldrich.com/IT/en/sds/aldrich/71320
E1.12;S;;SODIUM CARBONATE;500;g;Sigma Aldrich;1;S7795-500G;https://www.sigmaaldrich.com/IT/en/sds/sial/s7795
E1.12;S;;SODIUM CARBONATE BIOEXTRA 99%;1;kg;Sigma Aldrich;1;S7795-1KG;https://www.sigmaaldrich.com/IT/en/sds/sial/s7795
E1.12;S;;SODIUM CHLORIDE;1;kg;Sigma Aldrich;1;746398;https://www.sigmaaldrich.com/IT/en/sds/sigald/746398
E1.12;S;;SODIUM CITRATE TRIBASIC DIHYDRATE;500;g;Sigma Aldrich;1;S1804;https://www.sigmaaldrich.com/IT/en/sds/sial/s1804
E1.12;S;;SODIUM CITRATE TRIBASIC DIHYDRATE;500;g;Sigma Aldrich;1;S4641-500G;https://www.sigmaaldrich.com/IT/en/sds/sial/s4641
E1.12;S;;SODIUM HEXAMETAPHOSPHATE;1;Kg;Sigma Aldrich;2;71600-1KG;https://www.sigmaaldrich.com/IT/en/sds/aldrich/71600
E1.12;S;;SODIUM HYDROXIDE;1;kg;J.T. BACKER;2;404;https://it.vwr.com/assetsvc/asset/en_GB/id/37823087/contents
E1.12;S;;SODIUM HYPOCHLORITE SOLUTION;2,5;L;Merck;1;105.614;https://www.sigmaaldrich.com/IT/en/sds/mm/1.05614
E1.12;S;;SODIUM HYPOCHLORITE SOLUTION;2,5;L;Merck;1;1.056.142.500;https://www.sigmaaldrich.com/IT/en/sds/mm/1.05614
E1.12;S;;SODIUM METABISULFITE;1;kg;Sigma Aldrich;1;13459-1KG;https://www.sigmaaldrich.com/IT/en/sds/sigald/13459
E1.12;S;;SODIUM METABISULFITE;1;kg;Carlo Erba;1;481287;https://www.carloerbareagents.com/cerstorefront/cer-it/c/Sodium-metabisulfite%2C-97%25/p/A17351
E1.12;S;;SODIUM METABORATE TETRAHYDRATE;500;g;ACROS ORGANICS;1;211635000;https://assets.thermofisher.com/DirectWebViewer/private/document.aspx?prd=ACR21163~~PDF~~MTR~~CLP1~~EN~~2020-12-20%2016:02:57~~Sodium%20metaborate%20tetrahydrate~~
E1.12;S;;SODIUM NITROPRUSSIDE DIHYDRATE;100;g;Sigma Aldrich;1;13451;https://www.sigmaaldrich.com/IT/en/sds/sial/13451
E1.12;S;;SODIUM OXALATE SIGMAULTRA;100;g;Sigma Aldrich;1;O0136-100G;https://www.sigmaaldrich.com/IT/en/sds/sigald/o0136
E1.12;S;;SODIUM PHENYLPHOSPHATE DIBASIC DIHYDRATE;10;g;Sigma Aldrich;1;P7751-10G;https://www.sigmaaldrich.com/IT/en/sds/aldrich/p7751
E1.12;S;;SODIUM PHOSPHATE DIBASIC ANHYDROUS;1;kg;MP;1;195501;https://www.mpbio.com/media/document/file/sds/dest/m/p/_/m/s/d/s/_/1/9/9/8/0/MP_MSDS_199802_US_EN.pdf
E1.12;S;;SODIUM PYROPHOSPHATE DECAHYDRATE 99%;1;kg;Sigma Aldrich;1;221368-1KG;https://www.sigmaaldrich.com/IT/en/sds/sigald/221368
E1.12;S;;SODIUM PYROPHOSPHATE TETRABASIC ?95%;500;g;Sigma Aldrich;2;P8010-500g;https://www.sigmaaldrich.com/IT/en/sds/aldrich/p8010
E1.12;S;;SODIUM SALICYLATE;500;g;Sigma Aldrich;2;S3007;https://www.sigmaaldrich.com/IT/en/sds/mm/1.06601
E1.12;S;;SODIUM SULFATE ANHYDROUS;1;kg;J.T. BAKER;2;313;https://us.vwr.com/assetsvc/asset/en_US/id/8271759/contents/jt3891-5_08302011
E1.12;S;;SODIUM THIOSULFATE;250;g;Sigma Aldrich;1;72049-250G;https://www.sigmaaldrich.com/IT/en/sds/sigald/72049
E1.12;S;;STARCH;100;g;Sigma Aldrich;1;S9765;https://www.sigmaaldrich.com/IT/en/sds/sial/s9765
E1.12;S;;SUCROSE;1;kg;Fluka;1;84100-1kg;https://www.sigmaaldrich.com/IT/en/sds/sial/84100
E1.12;S;;SULFURIC ACID 90%-91% FOR GERBER FAT DETERMINATION;u;L;Merck;1;1007292500;https://www.sigmaaldrich.com/IT/it/sds/mm/1.00729
E1.12;S;;SULFURIC ACID 95%-97%;2,5;L;Merck;1;1.007.312.510;https://www.sigmaaldrich.com/IT/en/sds/mm/1.00731
E1.12;S;;SULFURIC ACID 95%-97%;2,5;L;J.T.BAKER;1;6057;https://it.vwr.com/assetsvc/asset/en_GB/id/33996518/contents
